task_type,id,pos0,pos1,time
A,8RFLKZQ3,"[14, 0, 0]","[7, 6, 2]",08:00:00
A,TM4KSMO9,"[14, 0, 0]","[7, 2, 2]",08:00:00
D,76EF6850,"[5, 7, 0]","[14, 14, 0]",14:00:00
D,4JY2TFWP,"[5, 8, 1]","[14, 14, 0]",14:00:00
A,PO2UHYKS,"[14, 0, 0]","[6, 12, 0]",08:00:00
A,AGREEFB2,"[14, 0, 0]","[5, 6, 2]",08:00:00
D,AGREEFB2,"[5, 6, 2]","[14, 14, 0]",14:00:00
D,TM4KSMO9,"[7, 2, 2]","[14, 14, 0]",14:00:00
A,L5Z808HK,"[14, 0, 0]","[7, 6, 1]",08:00:00
D,L5Z808HK,"[7, 6, 1]","[14, 14, 0]",14:00:00
A,X2DR7T4H,"[14, 0, 0]","[7, 2, 2]",08:00:00
A,AW58SAGQ,"[14, 0, 0]","[5, 7, 2]",08:00:00
D,PO2UHYKS,"[6, 12, 0]","[14, 14, 0]",14:00:00
D,8RFLKZQ3,"[7, 6, 2]","[14, 14, 0]",14:00:00
